date,1. open,2. high,3. low,4. close,5. volume
2019-03-28 09:31:00,177.68,177.86,177.09,177.47,285998.0
2019-03-28 09:32:00,177.525,177.9,177.27,177.66,127771.0
2019-03-28 09:33:00,177.7591,178.1,177.323,178.07,110428.0
2019-03-28 09:34:00,178.0805,178.3039,177.42,177.61,114570.0
2019-03-28 09:35:00,177.53,177.53,176.3,176.45,102738.0
2019-03-28 09:36:00,176.5,177.09,176.24,177.09,72349.0
2019-03-28 09:37:00,177.09,177.1,176.64,177.03,70714.0
2019-03-28 09:38:00,177.03,177.39,176.7,177.092,115349.0
2019-03-28 09:39:00,177.05,177.0575,176.61,176.6899,22635.0
2019-03-28 09:40:00,176.6301,176.92,176.11,176.17,53448.0
2019-03-28 09:41:00,176.1835,176.2632,175.65,175.8,91101.0
2019-03-28 09:42:00,175.7615,176.08,175.65,175.8199,66864.0
2019-03-28 09:43:00,175.72,175.72,175.11,175.58,49712.0
2019-03-28 09:44:00,175.61,176.29,175.5686,176.205,116620.0
2019-03-28 09:45:00,176.21,176.99,176.1981,176.8391,147389.0
2019-03-28 09:46:00,176.83,177.045,176.42,176.6699,54509.0
2019-03-28 09:47:00,176.61,176.98,176.55,176.85,34853.0
2019-03-28 09:48:00,176.83,177.11,176.5,176.75,92301.0
2019-03-28 09:49:00,176.745,177.03,176.41,176.97,36458.0
2019-03-28 09:50:00,176.97,177.0,176.69,176.9,51351.0
2019-03-28 09:51:00,176.88,177.108,176.88,176.935,67972.0
2019-03-28 09:52:00,176.935,177.5308,176.91,177.465,81384.0
2019-03-28 09:53:00,177.46,177.87,177.27,177.77,109066.0
2019-03-28 09:54:00,177.73,178.09,177.66,178.01,90823.0
2019-03-28 09:55:00,178.02,178.18,177.66,177.855,65096.0
2019-03-28 09:56:00,177.7826,178.27,177.7826,178.03,122827.0
2019-03-28 09:57:00,177.97,178.2478,177.95,178.0816,80238.0
2019-03-28 09:58:00,178.0664,178.23,177.83,177.8798,53306.0
2019-03-28 09:59:00,177.8802,178.42,177.84,178.29,74875.0
2019-03-28 10:00:00,178.3345,178.3345,178.06,178.2,43985.0
2019-03-28 10:01:00,178.21,178.39,178.0922,178.34,57384.0
2019-03-28 10:02:00,178.35,178.5,178.13,178.2,57357.0
2019-03-28 10:03:00,178.21,178.58,178.21,178.55,58102.0
2019-03-28 10:04:00,178.4876,178.92,178.4675,178.899,100619.0
2019-03-28 10:05:00,178.895,179.349,178.8701,179.27,106422.0
2019-03-28 10:06:00,179.2482,179.31,178.8981,179.105,84381.0
2019-03-28 10:07:00,179.11,179.25,179.02,179.15,31035.0
2019-03-28 10:08:00,179.15,179.2,178.99,179.145,25914.0
2019-03-28 10:09:00,179.1249,179.13,178.93,179.02,33977.0
2019-03-28 10:10:00,178.96,179.05,178.89,179.0,35554.0
2019-03-28 10:11:00,179.06,179.49,179.06,179.29,79446.0
2019-03-28 10:12:00,179.2001,179.46,179.2,179.3528,134056.0
2019-03-28 10:13:00,179.3441,179.38,179.17,179.22,36179.0
2019-03-28 10:14:00,179.1808,179.27,178.78,178.8391,63476.0
2019-03-28 10:15:00,178.8599,178.8799,178.64,178.8652,41464.0
2019-03-28 10:16:00,178.89,179.16,178.8,179.1394,45769.0
2019-03-28 10:17:00,179.09,179.09,178.82,178.8404,40592.0
2019-03-28 10:18:00,178.85,179.0035,178.79,178.99,21549.0
2019-03-28 10:19:00,178.99,179.202,178.98,179.202,28278.0
2019-03-28 10:20:00,179.195,179.21,178.97,179.19,56648.0
2019-03-28 10:21:00,179.2,179.66,179.18,179.6007,95299.0
2019-03-28 10:22:00,179.6,179.79,179.57,179.7178,53851.0
2019-03-28 10:23:00,179.73,179.9,179.73,179.88,45694.0
2019-03-28 10:24:00,179.9,179.9,179.6638,179.77,40545.0
2019-03-28 10:25:00,179.74,179.83,179.6088,179.6884,32941.0
2019-03-28 10:26:00,179.71,179.71,179.0651,179.14,69068.0
2019-03-28 10:27:00,179.125,179.339,179.03,179.15,52522.0
2019-03-28 10:28:00,179.1218,179.31,179.09,179.183,22368.0
2019-03-28 10:29:00,179.2001,179.225,178.78,178.78,57611.0
2019-03-28 10:30:00,178.79,178.85,178.6,178.67,46833.0
2019-03-28 10:31:00,178.63,178.86,178.63,178.66,29405.0
2019-03-28 10:32:00,178.61,178.638,178.25,178.29,53321.0
2019-03-28 10:33:00,178.3274,178.45,178.16,178.23,38756.0
2019-03-28 10:34:00,178.27,178.4165,178.2,178.31,41012.0
2019-03-28 10:35:00,178.34,178.5649,178.275,178.5488,33827.0
2019-03-28 10:36:00,178.57,178.8799,178.57,178.7759,57357.0
2019-03-28 10:37:00,178.8099,178.99,178.5,178.5766,50623.0
2019-03-28 10:38:00,178.63,178.7399,178.6,178.72,9574.0
2019-03-28 10:39:00,178.6901,178.691,178.51,178.57,15530.0
2019-03-28 10:40:00,178.58,178.7317,178.35,178.3837,68931.0
2019-03-28 10:41:00,178.375,178.5799,178.35,178.565,26734.0
2019-03-28 10:42:00,178.59,178.8857,178.59,178.85,20055.0
2019-03-28 10:43:00,178.91,179.01,178.87,178.94,20541.0
2019-03-28 10:44:00,178.9307,179.11,178.91,178.99,27062.0
2019-03-28 10:45:00,178.94,179.06,178.85,178.95,24204.0
