date,1. open,2. high,3. low,4. close,5. volume
2019-03-25 09:31:00,116.56,116.67,116.34,116.6,858114.0
2019-03-25 09:32:00,116.59,116.7,116.33,116.35,154066.0
2019-03-25 09:33:00,116.345,116.78,116.345,116.74,114600.0
2019-03-25 09:34:00,116.74,116.8,116.56,116.77,144974.0
2019-03-25 09:35:00,116.76,116.86,116.64,116.86,104662.0
2019-03-25 09:36:00,116.87,117.0,116.84,116.98,139032.0
2019-03-25 09:37:00,116.98,117.2299,116.98,117.16,131273.0
2019-03-25 09:38:00,117.19,117.68,117.19,117.64,197740.0
2019-03-25 09:39:00,117.6,117.74,117.43,117.52,134457.0
2019-03-25 09:40:00,117.54,117.85,117.54,117.83,134021.0
2019-03-25 09:41:00,117.8,117.8,117.53,117.605,119954.0
2019-03-25 09:42:00,117.62,117.6467,117.47,117.48,71143.0
2019-03-25 09:43:00,117.5,117.52,117.38,117.38,63835.0
2019-03-25 09:44:00,117.4,117.54,117.4,117.54,114024.0
2019-03-25 09:45:00,117.5504,117.5504,117.355,117.355,135535.0
2019-03-25 09:46:00,117.35,117.35,117.19,117.28,141608.0
2019-03-25 09:47:00,117.27,117.27,117.07,117.09,107154.0
2019-03-25 09:48:00,117.09,117.15,117.04,117.13,140166.0
2019-03-25 09:49:00,117.13,117.13,116.9,116.96,177015.0
2019-03-25 09:50:00,116.97,116.99,116.81,116.9,174989.0
2019-03-25 09:51:00,116.9,117.04,116.83,117.0,92478.0
2019-03-25 09:52:00,117.02,117.23,116.95,117.1,107395.0
2019-03-25 09:53:00,117.1,117.22,117.08,117.21,59245.0
2019-03-25 09:54:00,117.19,117.19,117.06,117.08,78876.0
2019-03-25 09:55:00,117.095,117.16,117.01,117.01,59387.0
2019-03-25 09:56:00,117.03,117.09,116.91,117.09,154896.0
2019-03-25 09:57:00,117.08,117.29,117.08,117.19,119721.0
2019-03-25 09:58:00,117.175,117.29,117.12,117.29,80484.0
2019-03-25 09:59:00,117.3,117.38,117.18,117.18,83160.0
2019-03-25 10:00:00,117.18,117.18,117.08,117.16,97061.0
2019-03-25 10:01:00,117.16,117.27,117.14,117.16,101839.0
2019-03-25 10:02:00,117.17,117.3213,117.17,117.21,159311.0
2019-03-25 10:03:00,117.2,117.265,117.13,117.13,73076.0
2019-03-25 10:04:00,117.0915,117.0915,116.98,117.05,95934.0
2019-03-25 10:05:00,117.07,117.17,117.06,117.13,61333.0
2019-03-25 10:06:00,117.13,117.251,117.12,117.24,79093.0
